Timestamp_ms,Raw_Accel_X,Raw_Accel_Y,Raw_Accel_Z,Unbiased_Filt_Accel_X,Unbiased_Filt_Accel_Y,Raw_Omega_Z_degs,Unbiased_Omega_Z_rads,IMU_Roll_deg,IMU_Pitch_deg,IMU_Yaw_deg,GPS_Lat,GPS_Lon,GPS_GroundSpeed_kmh,GPS_Satellites,GPS_HDOP,GPS_Local_X_m,GPS_Local_Y_m,R_delta_pos_X,R_delta_pos_Y,Q_av,Q_q,Q_ba,Q_bg,ZUPT_Actived,EKF_Status,Delta_T_s
10,0.0048,0.0335,9.7187,0,0,0,0,0,0,-179,22.3761292,120.159729,0,12,3.4,0,0,100,100,0.000027,0,0,0,0,3,0.011
53,0,-0.0144,9.7713,0,0,0,0,0,0,-179,22.376133,120.1596909,0,13,2.7,0,0,100,100,0.000027,0,0,0,0,3,0.011
88,-0.0191,-0.0574,9.8383,0,0,0,0,0,0,-179,22.376133,120.1596909,0,13,2.7,0,0,100,100,0.000027,0,0,0,0,3,0.011
123,0.0144,-0.0048,9.8048,0,0,0,0,0,0,-179,22.376133,120.1596909,0,13,2.7,0,0,100,100,0.000027,0,0,0,0,3,0.011
157,0.0048,0.0574,9.7187,0,0,0,0,0,0,-179,22.376133,120.1596909,0,13,2.7,0,0,100,100,0.000027,0,0,0,0,3,0.011
192,-0.0144,-0.0239,9.7713,0,0,0,0,0,0,-179,22.376133,120.1596909,0,13,2.7,0,0,100,100,0.000027,0,0,0,0,3,0.011
227,-0.0144,-0.0431,9.8048,0,0,0,0,0,0,-179,22.376133,120.1596909,0,13,2.7,0,0,100,100,0.000027,0,0,0,0,3,0.011
269,-0.0239,0.0287,9.7378,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
304,-0.0239,-0.0526,9.8431,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
339,0.0287,-0.0239,9.8526,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
373,0,0.0383,9.7139,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
408,-0.0144,-0.0144,9.7521,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
443,-0.0239,-0.0239,9.8144,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
485,-0.0191,-0.0048,9.7569,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
520,0,-0.0335,9.8144,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
554,-0.0096,0.0096,9.8096,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
589,0,0.0383,9.7426,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
623,-0.0239,-0.0096,9.7761,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
657,-0.0096,-0.0287,9.8048,0,0,0,0,0,0,-179,22.376133,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
699,0.0287,0.0048,9.8048,0,0,0,0,0,0,-179,22.3761349,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
733,0.0048,-0.0335,9.8239,0,0,0,0,0,0,-179,22.3761349,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
767,0.0287,0.0144,9.7904,0,0,0,0,0,0,-179,22.3761349,120.1596832,0.01,15,2.3,0,0,100,100,0.000027,0,0,0,0,3,0.011
