Count,Timestamp_s,Raw_Accel_X,Raw_Accel_Y,Raw_Omega_Z_degs,IMU_Yaw_deg,GPS_Lon,GPS_Lat,GPS_GroundSpeed_kmh,GPS_Satellites,GPS_HDOP
1,0.2125,0.0335,0.00479,0,23.703,120.1596337,22.3761546,0.185,22,1.4
2,0.218,0.0335,0,0,23.703,120.1596337,22.3761546,0.185,22,1.4
3,0.2234,-0.04785,-0.02393,0,23.703,120.1596337,22.3761546,0.185,22,1.4
4,0.2289,0.02871,0,0,23.703,120.1596337,22.3761546,0.185,22,1.4
5,0.2445,-0.06221,-0.00957,0,23.703,120.1596337,22.3761546,0.185,22,1.4
6,0.25,0.04307,-0.01436,0,23.703,120.1596337,22.3761546,0.185,22,1.4
7,0.2555,-0.03828,0,0,23.703,120.1596337,22.3761546,0.185,22,1.4
8,0.2609,0.04785,-0.01914,0,23.703,120.1596337,22.3761546,0.185,22,1.4
9,0.2766,-0.04307,-0.00957,0,23.703,120.1596337,22.3761546,0.185,22,1.4
10,0.2821,0.07178,-0.01436,0,23.703,120.1596337,22.3761546,0.185,22,1.4
11,0.2876,0.05742,0,0,23.703,120.1596337,22.3761546,0.185,22,1.4
12,0.2931,-0.05742,-0.02393,0,23.703,120.1596337,22.3761546,0.185,22,1.4
13,0.3088,0.07656,0.00479,0,23.703,120.1596337,22.3761546,0.185,22,1.4
14,0.3144,-0.04785,-0.01914,0,23.703,120.1596337,22.3761546,0.185,22,1.4
15,0.32,0.05264,-0.00957,0,23.703,120.1596337,22.3761546,0.185,22,1.4
16,0.3256,-0.04785,-0.0335,0,23.703,120.1596337,22.3761546,0.185,22,1.4
17,0.3412,0.05264,0.0335,0,23.703,120.1596337,22.3761546,0.185,22,1.4
18,0.3467,-0.04307,-0.0335,0,23.703,120.1596337,22.3761546,0.185,22,1.4
19,0.3522,-0.04307,-0.0335,0,23.703,120.1596337,22.3761546,0.185,22,1.4
20,0.3578,0.05742,0.02871,0,23.703,120.1596337,22.3761546,0.185,22,1.4
21,0.3734,-0.08135,0.02393,0,23.703,120.1596337,22.3761546,0.185,22,1.4
22,0.379,0.06221,0.02393,0,23.703,120.1596337,22.3761546,0.185,22,1.4
23,0.3845,-0.04785,0,0,23.703,120.1596337,22.3761546,0.185,22,1.4
24,0.3898,0.05742,-0.01436,0,23.703,120.1596337,22.3761546,0.185,22,1.4
25,0.4054,-0.05264,-0.00479,0,23.703,120.1596337,22.3761546,0.185,22,1.4
26,0.4184,0.07178,0.01436,0,23.703,120.159634,22.3761544,0.185,22,1.4
27,0.4239,-0.07178,0,0,23.703,120.159634,22.3761544,0.185,22,1.4
28,0.4293,0.04307,0,0,23.703,120.159634,22.3761544,0.185,22,1.4
29,0.4348,-0.04785,-0.00957,0,23.703,120.159634,22.3761544,0.185,22,1.4
30,0.4504,0.06221,-0.00957,0,23.703,120.159634,22.3761544,0.185,22,1.4
31,0.456,-0.06221,-0.01436,0,23.703,120.159634,22.3761544,0.185,22,1.4
32,0.4615,0.03828,-0.00957,0,23.703,120.159634,22.3761544,0.185,22,1.4
33,0.467,0.06221,0,0,23.703,120.159634,22.3761544,0.185,22,1.4
34,0.4826,-0.08613,-0.01436,0,23.703,120.159634,22.3761544,0.185,22,1.4
35,0.4881,0.06699,0.01914,0,23.703,120.159634,22.3761544,0.185,22,1.4
36,0.4935,-0.06699,-0.0335,0,23.703,120.159634,22.3761544,0.185,22,1.4
37,0.4991,0.07178,0.0335,0,23.703,120.159634,22.3761544,0.185,22,1.4
38,0.5147,-0.04307,-0.0335,0,23.703,120.159634,22.3761544,0.185,22,1.4
39,0.5202,0.06699,0.04785,0,23.703,120.159634,22.3761544,0.185,22,1.4
40,0.5257,-0.05742,-0.06221,0,23.703,120.159634,22.3761544,0.185,22,1.4
41,0.5312,-0.04785,-0.05264,0,23.703,120.159634,22.3761544,0.185,22,1.4
42,0.5468,0.07656,0.02871,0,23.703,120.159634,22.3761544,0.185,22,1.4
43,0.5523,-0.07656,-0.06221,0,23.703,120.159634,22.3761544,0.185,22,1.4
44,0.5578,0.08135,0.04785,0,23.703,120.159634,22.3761544,0.185,22,1.4
45,0.5635,-0.05742,-0.05264,0,23.703,120.159634,22.3761544,0.185,22,1.4
46,0.5791,0.06699,0.04307,0,23.703,120.159634,22.3761544,0.185,22,1.4
47,0.5846,-0.07656,-0.05264,0,23.703,120.159634,22.3761544,0.185,22,1.4
48,0.5901,0.07178,0.06699,0,23.703,120.159634,22.3761544,0.185,22,1.4
49,0.5956,-0.04785,-0.06221,0,23.703,120.159634,22.3761544,0.185,22,1.4
50,0.6113,-0.05264,-0.03828,0,23.703,120.159634,22.3761544,0.185,22,1.4
51,0.6243,-0.06699,-0.04785,0,23.703,120.159634,22.3761544,0.185,22,1.4
52,0.6298,0.05742,0.01914,0,23.703,120.159634,22.3761544,0.185,22,1.4
53,0.6353,-0.05264,-0.0335,0,23.703,120.159634,22.3761544,0.185,22,1.4
54,0.6408,-0.03828,-0.00957,0,23.703,120.159634,22.3761544,0.185,22,1.4
55,0.6564,0.04785,0.0335,0,23.703,120.159634,22.3761544,0.185,22,1.4
56,0.6619,-0.05742,-0.01914,0,23.703,120.159634,22.3761544,0.185,22,1.4
57,0.6674,0.06699,0.03828,0,23.703,120.159634,22.3761544,0.185,22,1.4
58,0.6729,-0.07178,-0.00479,0,23.703,120.159634,22.3761544,0.185,22,1.4
59,0.6885,0.04307,0.04785,0,23.703,120.159634,22.3761544,0.185,22,1.4
60,0.694,-0.05264,-0.03828,0,23.703,120.159634,22.3761544,0.185,22,1.4
